station_id,Model,MAE,RMSE,MAPE,R2,Time_s
500101107,RandomForest,9.428,11.001,199.884,-1.095,0.087
500101107,LinearRegression,9.921,12.493,177.334,-1.701,0.000
500101107,Prophet,16.362,18.268,337.129,-4.777,0.185
500101107,ARIMA,6.838,7.931,114.753,-0.089,0.039
500101108,Naive,4.583,5.026,169.728,-0.666,0.000
500101108,WeeklyAvg,5.413,7.239,223.794,-2.456,0.000
500101108,RandomForest,5.111,6.129,193.176,-1.477,0.079
500101108,LinearRegression,3.657,4.230,127.538,-0.180,0.000
500101108,Prophet,5.336,6.292,160.047,-1.610,0.175
500101108,ARIMA,4.130,4.483,146.042,-0.326,0.096
500101109,Naive,8.512,9.533,11025877.022,-0.492,0.000
500101109,WeeklyAvg,5.738,7.385,5070054.735,0.105,0.000
500101109,RandomForest,6.895,8.197,7377432.524,-0.103,0.079
500101109,LinearRegression,6.180,7.576,4643843.694,0.058,0.000
500101109,Prophet,19.823,20.402,21721437.586,-5.833,0.185
500101109,ARIMA,7.392,8.323,7824526.112,-0.137,0.107
500101110,Naive,9.096,10.836,154.434,-0.012,0.000
500101110,WeeklyAvg,8.161,9.666,84.045,0.194,0.000
500101110,RandomForest,10.659,12.994,240.078,-0.456,0.081
500101110,LinearRegression,9.495,11.426,220.663,-0.126,0.000
500101110,Prophet,22.624,25.951,229.140,-4.807,0.207
500101110,ARIMA,10.711,12.753,251.211,-0.402,0.020
500101111,Naive,0.000,0.000,0.000,1.000,0.000
500101111,WeeklyAvg,0.000,0.000,0.000,1.000,0.000
500101111,RandomForest,0.000,0.000,0.000,1.000,0.063
500101111,LinearRegression,0.000,0.000,0.000,1.000,0.000
500101111,Prophet,0.000,0.000,0.000,1.000,0.079
500101111,ARIMA,0.000,0.000,0.000,1.000,0.129
500101113,Naive,16.757,18.128,170.976,-0.000,0.000
500101113,WeeklyAvg,6.933,8.426,42.266,0.784,0.002
500101113,RandomForest,14.054,15.426,169.203,0.276,0.081
500101113,LinearRegression,6.474,7.536,64.887,0.827,0.002
500101113,Prophet,12.235,14.115,156.305,0.394,0.180
500101113,ARIMA,19.930,24.415,288.696,-0.814,0.045
500101114,Naive,7.737,8.315,195.388,-0.683,0.000
500101114,WeeklyAvg,3.476,4.623,51.390,0.480,0.000
500101114,RandomForest,11.046,12.288,283.897,-2.676,0.079
500101114,LinearRegression,13.899,14.394,308.444,-4.045,0.016
500101114,Prophet,6.471,8.358,117.427,-0.701,0.193
500101114,ARIMA,5.861,6.748,135.798,-0.109,0.035
500101115,Naive,9.363,12.806,69.141,-0.126,0.000
500101115,WeeklyAvg,7.083,9.650,39.090,0.361,0.000
500101115,RandomForest,10.456,13.725,95.635,-0.293,0.079
500101115,LinearRegression,11.974,14.553,88.454,-0.454,0.000
500101115,Prophet,8.879,11.031,80.034,0.165,0.205
500101115,ARIMA,9.403,13.502,62.932,-0.252,0.035
500101116,Naive,9.848,11.414,162.155,-0.090,0.000
500101116,WeeklyAvg,4.606,6.128,37.517,0.686,0.000
500101116,RandomForest,5.291,6.242,59.612,0.674,0.079
500101116,LinearRegression,6.262,7.056,69.001,0.584,0.000
500101116,Prophet,7.904,9.896,42.013,0.181,0.205
500101116,ARIMA,10.206,11.892,173.564,-0.183,0.029
500101117,Naive,0.000,0.000,0.000,1.000,0.000
500101117,WeeklyAvg,0.000,0.000,0.000,1.000,0.000
500101117,RandomForest,0.000,0.000,0.000,1.000,0.063
500101117,LinearRegression,0.000,0.000,0.000,1.000,0.000
500101117,Prophet,0.000,0.000,0.000,1.000,0.080
500101117,ARIMA,0.000,0.000,0.000,1.000,0.111
500101118,Naive,3.080,3.825,92.511,-0.148,0.000
500101118,WeeklyAvg,3.247,4.322,50.397,-0.466,0.000
500101118,RandomForest,2.996,3.963,60.559,-0.233,0.080
500101118,LinearRegression,4.477,5.022,121.370,-0.980,0.000
500101118,Prophet,2.886,3.575,95.409,-0.003,0.179
500101118,ARIMA,3.167,3.737,100.124,-0.096,0.064
500101119,Naive,5.222,5.944,182.285,-0.002,0.000
500101119,WeeklyAvg,4.705,5.354,113.721,0.187,0.000
500101119,RandomForest,4.992,5.578,134.490,0.118,0.095
500101119,LinearRegression,5.221,5.868,134.377,0.024,0.000
500101119,Prophet,5.881,7.050,254.374,-0.409,0.192
500101119,ARIMA,6.815,7.792,311.655,-0.721,0.029
500101120,Naive,8.481,9.625,196.108,-0.000,0.000
500101120,WeeklyAvg,4.384,4.959,93.552,0.735,0.000
500101120,RandomForest,5.244,7.368,64.344,0.414,0.079
500101120,LinearRegression,6.624,8.387,95.335,0.241,0.000
500101120,Prophet,4.864,5.243,124.566,0.703,0.189
500101120,ARIMA,10.725,14.334,72.577,-1.218,0.058
500101122,Naive,3.090,3.664,1142670.964,-0.183,0.000
500101122,WeeklyAvg,3.319,4.001,2043642.956,-0.410,0.000
500101122,RandomForest,3.792,4.407,2420823.530,-0.711,0.079
500101122,LinearRegression,3.058,3.545,1565307.780,-0.107,0.016
500101122,Prophet,3.182,3.711,1375000.707,-0.213,0.168
500101122,ARIMA,2.778,3.122,1506238.309,0.141,0.061
500101123,Naive,5.800,6.175,255.127,-0.223,0.000
500101123,WeeklyAvg,3.914,4.706,87.694,0.290,0.000
500101123,RandomForest,7.419,8.570,291.994,-1.355,0.080
500101123,LinearRegression,8.965,10.002,315.028,-2.208,0.000
500101123,Prophet,6.990,7.997,277.225,-1.051,0.185
500101123,ARIMA,6.295,6.985,319.632,-0.565,0.057
500101124,Naive,9.766,10.759,79.719,-0.984,0.000
500101124,WeeklyAvg,11.169,13.226,61.603,-1.999,0.000
500101124,RandomForest,10.047,11.299,80.624,-1.189,0.079
500101124,LinearRegression,8.623,10.417,52.707,-0.860,0.000
500101124,Prophet,11.374,13.288,184.747,-2.027,0.172
500101124,ARIMA,5.922,8.425,129.740,-0.217,0.031
500101125,Naive,4.495,5.106,261.159,-0.184,0.000
500101125,WeeklyAvg,3.421,4.275,99.582,0.170,0.000
500101125,RandomForest,4.291,5.165,272.563,-0.211,0.080
500101125,LinearRegression,3.969,4.836,203.831,-0.062,0.016
500101125,Prophet,3.663,4.325,184.289,0.151,0.163
500101125,ARIMA,4.448,5.067,259.539,-0.166,0.115
500101126,Naive,6.248,7.044,450.191,-0.215,0.000
500101126,WeeklyAvg,4.197,5.828,79.534,0.169,0.000
500101126,RandomForest,8.433,9.378,512.184,-1.153,0.079
500101126,LinearRegression,6.612,7.414,407.768,-0.345,0.000
500101126,Prophet,3.938,4.591,146.590,0.484,0.140
500101126,ARIMA,5.192,6.430,343.196,-0.012,0.031
500101127,Naive,11.837,13.334,424.438,-0.023,0.000
500101127,WeeklyAvg,6.356,7.772,113.640,0.652,0.000
500101127,RandomForest,8.571,10.548,158.392,0.360,0.079
500101127,LinearRegression,9.389,11.639,166.879,0.221,0.000
500101127,Prophet,9.748,13.050,189.747,0.020,0.177
500101127,ARIMA,12.397,17.420,114.290,-0.746,0.029
500101128,Naive,8.227,9.103,107.764,-0.055,0.000
500101128,WeeklyAvg,4.630,6.928,29.522,0.389,0.000
500101128,RandomForest,5.091,6.511,72.574,0.460,0.079
500101128,LinearRegression,6.239,8.327,64.213,0.117,0.000
500101128,Prophet,11.314,12.789,108.990,-1.083,0.173
500101128,ARIMA,9.736,12.181,206.984,-0.890,0.039
500101129,Naive,3.868,4.846,80.592,-0.019,0.000
500101129,WeeklyAvg,1.507,2.015,21.700,0.824,0.000
500101129,RandomForest,3.764,4.829,67.811,-0.012,0.079
500101129,LinearRegression,3.253,3.904,41.054,0.338,0.002
