YouBike Station ID,YouBike Station Name,Closest Weather Station,Distance (km)
500103042,YouBike2.0_大同運動中心,Taipei,3.02687558081998
500103043,YouBike2.0_重慶保安街口(家樂福重慶店),Taipei,2.38676135346195
500103044,YouBike2.0_大稻埕碼頭,Taipei,2.2168245973798
500103045,YouBike2.0_歸綏戲曲公園,Taipei,2.2628370057104
500103046,YouBike2.0_民權國中(民權西路),Taipei,2.83196467510206
500103047,YouBike2.0_承德民權路口,Taipei,2.77159258578192
500103048,YouBike2.0_南京太原路口,Taipei,1.77928376661349
500103049,YouBike2.0_承德民生西路口,Taipei,2.23157463657029
500103050,YouBike2.0_太原五原路口,Taipei,2.09379557034087
500103051,YouBike2.0_臺北轉運站(華陰街),Taipei,1.36760901131425
500103052,YouBike2.0_捷運民權西路站(3號出口),Taipei,2.67303343397943
500103053,YouBike2.0_捷運中山站(5號出口),Taipei,1.75553838770004
500103054,YouBike2.0_重慶長安路口,Taipei,1.53585623009206
500103055,YouBike2.0_承德昌吉街口,Taipei,3.14638729555635
500103056,YouBike2.0_大同16號廣場,Taipei,2.19911247974568
500103057,YouBike2.0_捷運圓山站(2號出口),Science Education Center,2.7324264318391
500103058,YouBike2.0_樹德公園_1,Taipei,3.21864296985745
500103059,YouBike2.0_承德鄭州路口(市民高架下),Taipei,1.24127846572405
500103060,YouBike2.0_成淵高中,Taipei,2.56704395723796
500103061,YouBike2.0_雙蓮國小,Taipei,2.65632099377696
500103062,YouBike2.0_寧夏涼州街口,Taipei,2.58078698569194
500103063,YouBike2.0_延平涼州街口,Taipei,2.60219842828775
500103064,YouBike2.0_大同行政中心,Taipei,3.14287323869108
500103065,YouBike2.0_大龍市場,Science Education Center,2.40404939917443
500103066,YouBike2.0_南京西寧北路口(西北側),Taipei,1.86450499729802
500103068,YouBike2.0_哈密街23巷19弄口,Science Education Center,2.30188762239206
500103069,YouBike2.0_民權西路160巷口,Taipei,2.79566794424739
500103070,YouBike2.0_重慶北路三段205巷口,Science Education Center,2.93486689248548
500103071,YouBike2.0_承德路二段91巷口,Taipei,2.08723318911583
500104001,YouBike2.0_劍潭抽水站,Science Education Center,1.67544503624972
500104002,YouBike2.0_通河東街大南路口,Science Education Center,0.806818993125537
500104003,YouBike2.0_福港街停車場,Science Education Center,1.07212253564163
500104004,YouBike2.0_百齡國小,Science Education Center,1.26381140319513
500104005,YouBike2.0_雨聲街165巷口,Tianmu,1.67094892424528
500104006,YouBike2.0_天和公園,Tianmu,0.464459782781862
500104007,YouBike2.0_中山天母路口,Tianmu,0.768452694390956
500104008,YouBike2.0_天母運動公園,Tianmu,0.331585246746205
500104009,YouBike2.0_臺北市立大學(天母校區),Tianmu,0.435788724750398
500104010,YouBike2.0_忠誠路二段53巷,Tianmu,0.838354291838766
500104012,YouBike2.0_天母棒球場,Tianmu,0.69406712922311
500104013,YouBike2.0_天母北天玉街口,Tianmu,1.11239044718436
500104014,YouBike2.0_蘭興公園,Tianmu,1.29858085913604
500104015,YouBike2.0_明勝公園,Science Education Center,1.81864221942505
500104016,YouBike2.0_劍潭海外青年活動中心,Science Education Center,1.9795654147253
500104018,YouBike2.0_忠誠路一段173巷口,Tianmu,1.24179879411143
500104019,YouBike2.0_雨農國小,Tianmu,1.54696385027514
500104020,YouBike2.0_忠誠公園,Science Education Center,1.27229345158153
500104021,YouBike2.0_芝山抽水站,Science Education Center,1.32329614583849
500104022,YouBike2.0_至誠路一段305巷口,Science Education Center,1.56822176667166
500104023,YouBike2.0_華齡公園,Science Education Center,1.5363959563915
500104024,YouBike2.0_前港公園(福德宮),Science Education Center,1.15914697185254
500104025,YouBike2.0_華齡街185巷口,Science Education Center,0.956096275766658
500104026,YouBike2.0_前港公園(前港街),Science Education Center,1.36663438044453
